ID,INT1,STAB1,GLOB1,INT2,STAB2,GLOB2,INT3,STAB3,GLOB3,INT4,STAB4,GLOB4,INT5,STAB5,GLOB5,INT6,STAB6,GLOB6
377,6,4,4,5,4,4,7,2,4,1,3,3,5,4,4,6,4,5
379,4,5,2,7,4,2,4,4,2,7,2,3,7,4,4,4,4,4
380,2,7,4,4,4,4,5,4,4,1,2,4,6,4,4,4,4,4
381,4,2,6,1,1,7,6,6,6,5,5,2,6,5,5,7,7,6
382,7,7,7,6,5,5,5,4,4,4,4,3,7,5,6,6,5,6
383,6,5,5,7,4,5,4,3,4,4,4,4,4,4,4,1,1,1
384,7,4,5,3,3,3,7,3,5,4,2,3,4,5,5,4,4,4
385,6,5,6,6,6,6,6,5,6,4,5,6,6,5,5,6,6,6
386,7,5,5,4,4,1,5,7,6,4,3,1,7,2,5,4,2,2
387,7,6,5,4,5,5,3,3,4,5,5,3,7,6,6,5,5,2
388,6,7,5,1,4,3,4,4,4,1,5,3,6,2,4,7,7,7
390,3,4,1,2,2,1,1,3,1,4,3,2,5,4,2,4,3,1
391,7,4,5,3,4,1,6,4,4,5,2,3,5,3,3,4,3,3
392,6,3,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
393,6,6,6,4,4,5,4,5,6,7,6,6,3,4,4,7,6,6
394,6,5,2,7,2,2,7,2,3,5,3,1,6,4,2,4,3,3
395,3,5,5,4,4,3,2,6,6,4,4,6,7,7,7,4,4,4
396,5,4,4,5,5,4,5,4,5,4,3,4,6,4,5,4,4,4
397,5,7,7,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
398,4,4,2,1,4,5,7,3,2,6,2,2,5,5,3,4,4,1
399,5,2,4,6,4,2,5,3,2,2,4,4,3,4,4,6,4,3
400,5,4,5,4,4,5,4,4,5,5,4,5,3,4,5,4,4,5
401,6,4,6,4,4,4,5,5,6,1,4,3,6,5,3,5,5,5
402,5,6,6,6,4,4,5,4,3,3,4,2,3,5,6,4,5,5
403,7,5,6,7,4,4,6,4,4,7,4,1,5,4,3,5,3,3
404,6,5,4,6,6,5,1,3,3,1,2,2,6,5,4,5,4,3
405,6,6,5,1,6,7,5,6,4,1,1,1,5,4,5,6,6,6
406,1,4,1,5,4,1,7,4,5,3,4,5,6,4,5,4,3,2
407,6,4,5,7,6,7,2,4,4,1,4,1,1,3,1,4,4,5
408,5,5,1,7,3,5,1,4,1,1,3,4,6,5,4,1,4,2
409,4,3,3,6,1,5,5,5,3,3,3,3,7,7,3,4,4,4
410,2,2,2,6,3,5,3,4,2,6,3,5,4,5,5,4,3,4
411,3,7,2,6,4,4,2,6,6,4,5,5,6,4,4,4,6,6
412,7,5,4,1,3,2,5,3,3,6,4,2,6,5,3,4,4,4
413,6,5,7,3,4,4,5,3,5,4,4,5,5,5,5,4,4,4
414,7,7,3,5,3,2,7,3,3,7,7,7,5,5,5,6,4,4
416,4,4,4,2,3,1,4,5,2,6,5,3,4,2,4,4,4,1
417,7,2,1,2,5,7,4,4,1,1,4,1,1,4,6,4,5,1
418,6,4,1,5,3,1,7,7,3,2,2,1,4,5,5,7,6,3
419,7,7,6,6,3,3,5,2,3,5,3,4,5,3,3,6,3,5
420,5,6,1,1,6,1,5,4,4,4,4,3,5,5,2,4,4,4
421,7,4,5,4,4,4,3,3,2,4,4,3,3,4,4,4,4,4
422,4,3,5,4,3,4,5,3,4,3,4,3,3,5,5,5,3,4
423,5,3,1,5,3,5,6,3,6,6,2,2,7,5,7,4,4,6
424,4,3,2,6,4,2,6,6,5,6,3,3,7,3,2,6,2,2
425,5,7,5,4,6,3,2,6,1,6,5,3,7,5,6,4,4,3
426,4,5,5,4,5,2,6,3,2,3,2,2,5,5,2,3,4,2
427,2,6,4,7,7,1,5,5,2,4,4,3,5,4,4,6,5,4
428,6,5,7,7,6,6,6,3,7,6,3,6,6,5,5,5,4,4
429,3,2,1,1,2,2,6,1,1,4,4,2,6,2,6,3,2,2
430,5,3,2,4,4,4,3,6,3,6,4,3,6,3,6,4,4,2
431,2,3,5,5,5,4,6,4,5,6,3,3,3,6,5,5,6,6
432,6,3,5,5,4,2,5,2,1,2,3,1,6,6,5,4,2,3
433,5,5,5,7,2,6,5,4,6,1,6,5,3,5,3,4,5,4
434,7,6,6,7,3,7,6,6,6,4,4,4,7,7,7,4,4,4
435,6,2,5,3,3,1,1,3,4,5,2,1,7,3,5,4,3,2
436,2,6,5,6,3,2,6,6,6,2,6,5,5,7,7,5,5,4
437,6,4,4,7,4,3,4,4,1,5,5,1,6,2,2,4,4,1
438,4,6,6,6,5,6,6,4,4,6,5,3,7,6,6,4,4,3
439,6,2,3,1,3,1,5,2,3,6,2,1,6,4,3,4,2,2
440,4,7,7,3,5,1,3,4,5,7,3,5,4,4,3,7,6,4
441,5,4,4,4,6,4,5,4,4,4,4,3,7,4,5,6,4,2
442,5,5,6,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4
443,6,7,1,7,4,1,3,1,5,7,4,6,6,5,6,4,5,5
444,6,4,4,5,4,4,4,4,4,4,4,4,6,4,4,3,5,5
445,3,4,1,3,4,2,6,5,3,4,5,3,5,5,3,4,5,2
446,6,1,1,7,3,2,3,3,3,5,4,3,7,7,6,5,2,1
447,3,7,1,4,4,3,5,5,3,5,4,2,5,3,4,4,3,2
448,4,3,1,3,4,1,7,3,1,5,2,3,1,4,4,4,3,3
449,7,5,6,7,5,5,7,5,7,5,3,5,7,1,2,7,6,5
450,5,5,1,6,2,3,1,4,7,7,4,1,7,4,1,6,6,1
451,5,4,1,5,2,4,5,5,3,4,4,4,7,4,7,4,4,4
452,3,3,5,2,4,5,2,5,5,5,5,5,6,6,6,2,5,4
453,2,7,1,3,2,2,4,7,5,2,4,3,2,4,2,4,4,5
454,5,4,5,5,5,6,6,5,6,4,5,5,5,5,5,6,5,6
455,1,4,1,1,7,3,1,4,4,1,2,3,7,1,5,4,4,4
456,5,5,4,1,4,4,6,6,1,7,4,3,5,5,5,4,4,4
457,4,4,3,6,4,3,5,5,3,4,3,2,5,4,3,5,4,3
458,6,4,6,5,4,3,7,3,7,4,1,3,5,6,6,5,4,1
459,5,2,2,5,5,4,1,4,3,5,5,5,1,7,7,7,5,7
460,4,2,2,4,6,2,6,4,2,4,4,3,2,6,7,7,3,6
461,5,4,5,6,5,6,7,4,5,1,4,4,6,6,5,5,3,2
462,2,4,2,1,4,4,6,4,5,6,6,4,7,5,4,4,4,2
463,1,4,2,1,4,4,5,5,1,1,4,4,7,5,2,4,4,4
464,5,4,5,6,4,2,6,4,4,7,7,1,7,4,4,4,3,1
465,5,3,2,2,1,3,5,3,1,2,4,3,4,5,6,4,4,5
466,7,4,5,6,2,1,7,3,1,1,4,1,7,3,3,6,3,6
467,5,3,3,5,2,4,2,5,5,2,3,4,6,5,3,4,5,4
468,7,5,5,1,4,7,7,7,5,7,4,3,1,3,5,7,7,7
469,5,4,3,7,6,6,7,6,5,2,5,4,7,7,6,4,4,5
470,3,5,1,4,2,1,6,4,1,7,2,1,5,4,5,7,4,1
471,5,3,4,4,4,6,7,5,4,7,5,5,7,5,6,7,6,6
472,7,7,5,7,5,6,6,2,4,4,3,5,4,7,7,4,4,5
473,5,5,2,7,4,2,3,3,1,7,5,1,4,4,3,4,4,1
474,5,4,4,5,4,2,6,4,4,7,4,3,7,4,4,4,4,4
475,5,6,5,4,4,4,5,4,4,4,4,3,6,4,5,5,5,5
476,3,3,1,6,3,2,6,2,3,5,2,2,5,4,4,5,4,3
477,3,4,2,3,2,3,5,3,2,4,3,4,5,4,4,3,2,2
478,2,4,1,5,4,4,3,3,3,4,6,5,3,3,3,4,5,3
479,5,3,2,3,4,3,5,2,2,5,3,4,6,6,5,4,3,5
480,7,6,1,7,7,4,7,6,4,4,4,4,7,4,2,4,4,4
481,2,6,4,3,5,4,4,7,4,6,4,4,4,7,3,2,6,1
482,7,3,3,2,2,1,5,3,2,2,1,1,5,1,1,1,2,1
483,7,2,1,2,4,3,5,4,4,5,3,3,5,5,5,4,4,4
484,2,6,3,6,2,2,1,2,3,1,4,2,2,4,3,4,4,3
485,5,5,3,6,6,6,5,4,4,4,4,3,5,5,5,4,4,4
486,4,1,1,2,3,2,6,3,1,1,4,1,2,1,1,2,6,1
487,4,3,1,7,6,6,3,6,1,5,5,5,6,5,6,5,7,5
488,3,5,5,7,3,6,4,6,2,7,4,6,5,3,6,4,4,3
489,5,4,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
491,4,4,4,4,4,5,4,5,5,4,4,3,5,5,5,4,4,4
492,5,3,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
493,2,2,4,5,5,6,4,3,6,4,2,4,4,1,6,4,4,5
494,6,3,5,4,3,6,7,4,2,4,4,2,7,6,7,4,5,5
495,2,6,1,1,7,1,5,5,1,6,2,2,3,5,3,2,4,2
496,3,4,2,4,4,4,5,4,4,4,4,3,5,4,4,4,4,4
497,5,4,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
498,4,6,5,5,2,5,4,5,6,4,2,3,6,5,5,4,5,4
499,3,4,1,1,1,3,7,4,4,4,2,1,7,5,6,2,4,4
501,4,3,4,3,5,2,4,1,1,3,3,1,6,1,2,4,2,2
502,4,7,5,1,3,1,4,4,4,5,3,2,4,3,7,4,4,4
503,6,6,4,4,3,5,4,4,2,4,4,3,6,4,6,4,4,4
504,5,5,4,4,4,2,4,3,4,5,4,4,5,4,4,7,3,4
505,5,4,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
506,3,5,6,6,6,5,2,6,6,3,6,6,5,5,6,5,7,6
507,5,4,7,5,3,2,6,6,5,3,3,4,7,5,6,1,4,1
508,5,6,1,4,3,4,6,2,4,6,2,2,2,6,1,4,6,3
509,6,4,1,3,4,4,3,4,1,1,2,1,6,5,4,4,4,2
510,4,5,5,1,5,5,5,5,5,7,5,6,5,5,7,4,5,6
511,5,3,5,4,2,4,4,4,1,5,4,1,4,3,1,2,4,1
512,5,5,2,5,1,4,3,5,4,2,3,3,5,5,4,5,3,4
513,6,4,6,3,4,1,5,4,4,4,4,3,5,5,5,4,4,4
514,4,3,6,6,4,5,3,4,4,4,5,5,3,5,5,4,4,5
515,3,6,5,6,4,3,4,5,5,5,4,5,3,5,5,5,5,5
516,6,4,4,7,4,6,1,7,4,6,6,5,6,6,6,7,7,5
517,4,4,6,4,4,5,5,4,5,6,6,5,6,5,6,4,4,4
518,5,5,2,4,6,6,1,1,1,4,3,3,3,4,4,3,4,6
519,1,6,2,7,4,5,7,5,1,1,7,3,5,4,1,6,3,2
520,5,2,5,7,1,1,5,4,5,5,3,4,4,3,4,3,4,4
521,1,7,7,7,1,1,7,4,7,7,6,6,1,7,5,7,4,7
522,5,4,5,5,5,6,5,4,5,5,4,3,3,5,6,4,4,4
523,5,4,5,3,3,2,2,4,1,3,2,4,6,6,4,5,4,3
524,1,7,1,7,1,5,7,5,1,7,7,5,5,7,6,4,4,6
525,4,4,4,4,4,4,6,4,5,6,4,6,4,2,1,4,4,1
526,4,4,2,4,4,4,6,5,4,6,4,5,7,4,5,4,4,2
527,5,2,4,1,4,4,7,7,6,5,4,4,7,6,6,4,4,4
528,5,7,6,4,1,4,6,3,3,7,5,4,7,6,6,4,5,7
529,5,6,6,1,1,2,5,6,4,6,1,3,6,6,4,3,3,1
530,3,4,6,3,5,2,5,6,2,5,4,2,6,6,6,4,4,4
531,6,4,4,6,7,1,7,2,1,2,3,1,6,3,6,4,4,4
532,6,4,6,6,2,4,6,4,5,5,4,5,4,6,5,5,6,6
533,3,4,4,2,2,1,6,2,1,2,2,1,5,5,5,4,4,4
534,6,4,2,2,3,1,7,2,1,7,5,5,2,6,6,4,5,3
535,1,3,1,1,1,3,4,2,4,7,1,7,2,3,6,4,4,7
536,7,6,6,4,3,2,5,5,4,4,2,3,4,3,5,4,3,2
537,7,4,6,6,5,6,1,4,4,4,4,4,5,4,6,6,4,3
538,7,3,4,6,5,7,6,6,5,6,4,6,5,5,4,6,3,5
539,5,3,2,7,4,6,5,4,4,6,5,5,6,5,5,3,4,4
540,6,6,5,4,4,5,5,5,6,7,7,6,2,3,6,6,5,4
541,6,3,5,6,2,5,6,5,5,2,4,2,7,5,5,2,4,1
542,3,3,3,5,5,5,1,4,5,5,2,3,7,5,5,4,5,5
543,4,3,2,4,2,5,5,4,4,4,4,3,4,4,5,4,4,4
544,4,4,4,3,1,1,2,3,1,7,2,2,2,2,2,1,3,3
545,3,2,2,7,5,4,4,3,1,6,4,5,6,4,6,4,4,4
546,4,4,1,4,4,4,4,1,1,1,1,1,4,4,4,4,3,1
547,4,2,1,4,4,4,6,4,3,4,3,2,5,3,2,4,3,2
548,4,5,2,5,7,2,7,4,3,6,4,4,7,7,6,6,6,5
549,6,6,7,4,4,4,7,7,7,3,4,6,6,6,7,2,6,6
550,7,7,4,4,4,4,3,3,5,7,7,7,5,5,6,4,4,5
552,2,7,6,4,2,5,5,2,5,5,2,5,7,2,6,4,6,4
553,2,7,5,7,7,1,7,4,3,6,2,1,7,4,4,4,4,4
554,2,7,1,1,1,2,5,5,2,2,2,1,4,4,4,4,4,3
555,6,6,6,2,4,3,5,1,6,6,6,6,7,4,4,3,4,4
556,6,5,6,5,3,3,4,5,5,7,5,4,6,6,6,5,4,3
557,7,4,6,5,4,5,6,3,3,4,4,3,7,2,6,4,4,1
558,5,5,6,3,2,3,5,6,6,4,2,2,7,6,4,4,4,6
559,6,1,6,1,4,5,5,4,1,4,2,4,6,5,4,4,4,4
560,6,4,4,6,4,3,6,4,3,4,3,2,4,4,4,4,4,4
561,4,3,5,6,3,2,4,4,4,4,4,4,6,5,4,4,4,2
562,1,4,1,4,4,1,4,1,1,4,4,1,7,5,4,1,6,1
563,7,4,3,4,4,4,4,4,4,1,2,2,7,2,7,4,3,7
564,5,4,5,7,2,6,5,6,1,4,4,3,6,5,5,4,4,5
565,3,7,5,7,4,6,7,4,4,6,4,3,6,4,5,7,5,5
566,4,7,5,6,4,6,3,4,5,5,6,5,3,6,4,4,5,5
567,4,4,4,4,1,3,5,4,2,2,4,5,6,5,6,4,4,5
568,3,7,1,6,4,2,2,3,3,3,3,3,4,5,5,4,4,4
569,2,5,1,6,1,2,6,6,4,2,3,1,4,5,5,4,4,3
570,5,4,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
571,4,4,6,7,4,7,4,3,6,3,4,4,3,7,6,6,4,6
572,7,1,3,1,7,5,7,1,5,5,4,1,7,5,4,1,7,1
573,6,6,1,7,1,6,6,7,7,2,4,3,6,6,6,6,6,5
574,5,7,4,3,4,1,5,5,2,2,3,2,2,4,2,5,4,4
575,6,1,3,6,1,6,7,2,3,4,3,1,6,4,4,4,4,1
576,7,5,6,6,2,2,7,7,1,6,3,2,7,6,5,5,6,6
577,7,4,6,7,5,1,3,4,1,7,4,3,1,7,7,7,7,5
578,7,6,2,3,4,5,7,6,5,4,5,2,7,6,6,4,4,5
579,7,6,5,1,1,1,7,6,6,6,5,4,6,5,5,6,4,2
580,2,2,1,2,6,1,5,7,4,7,6,6,2,7,7,6,7,6
581,7,7,1,1,1,1,4,5,4,4,4,3,1,1,1,1,4,1
582,5,4,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
583,2,7,7,7,4,3,1,7,6,1,4,4,7,3,5,7,7,1
584,6,6,4,5,7,4,6,5,5,5,6,5,7,5,5,6,5,5
585,6,6,7,6,6,7,6,6,7,6,4,4,1,7,7,5,5,7
586,7,4,1,7,7,7,5,1,1,1,2,1,5,5,5,4,2,1
587,4,5,4,6,2,5,6,2,5,6,3,4,7,6,1,2,4,2
588,7,7,7,7,1,1,6,3,5,7,4,6,5,7,7,4,3,4
589,4,5,6,3,4,1,7,7,4,6,4,5,6,7,7,4,4,5
590,6,4,5,1,4,4,7,3,6,4,4,4,7,4,5,6,4,4
591,5,3,2,5,2,2,2,2,2,6,2,2,2,5,3,1,2,2
592,3,6,2,6,3,3,5,3,2,7,5,1,7,5,2,4,4,6
593,2,5,3,7,7,5,5,4,5,2,4,2,6,6,7,5,5,6
594,6,4,2,4,2,5,6,7,3,2,4,2,3,4,2,4,4,3
595,5,4,5,6,3,3,4,5,2,6,5,6,7,4,6,4,3,2
596,2,5,6,4,4,4,4,5,5,1,3,1,6,3,5,4,3,1
597,5,3,4,5,6,6,4,3,5,4,4,3,5,4,5,4,4,4
598,7,2,1,3,6,2,5,4,4,4,4,3,5,5,5,4,4,4
599,1,7,1,5,3,6,6,5,3,2,4,2,6,6,5,6,5,2
600,6,5,5,6,4,4,4,4,5,3,3,3,5,4,4,1,4,2
602,5,4,2,4,3,6,4,6,3,2,3,4,5,6,5,5,5,3
603,4,5,5,3,2,4,5,4,5,4,4,4,4,5,5,4,5,6
604,3,3,1,7,1,3,7,4,1,4,3,1,4,4,2,1,1,2
605,3,5,5,7,5,6,4,4,4,7,6,4,3,4,4,4,5,5
606,1,7,1,7,5,7,1,7,4,5,5,6,3,4,6,5,4,7
607,5,4,4,4,4,5,5,5,4,4,4,6,5,5,6,4,4,5
608,4,5,3,3,5,2,5,3,2,4,3,5,4,4,2,5,3,2
609,5,2,5,6,5,7,7,5,5,7,4,6,2,4,5,5,5,6
610,5,4,4,4,4,4,4,4,4,4,4,3,4,6,7,7,7,7
611,6,6,6,5,4,4,5,4,1,2,2,2,6,5,5,4,3,5
612,3,3,5,1,4,7,5,4,3,5,3,3,6,6,6,4,3,2
613,6,3,2,6,3,5,6,3,3,4,3,2,6,3,6,4,3,3
614,5,3,4,2,3,2,5,4,3,4,4,3,5,4,3,4,4,4
615,5,4,4,3,2,5,5,2,3,6,4,2,3,4,3,4,3,4
616,1,6,6,3,5,4,4,5,5,5,5,3,6,5,6,4,4,4
617,5,4,6,2,3,5,5,5,6,4,4,4,6,7,6,4,4,4
618,4,6,5,6,5,6,4,3,4,6,5,5,7,6,6,6,4,5
619,7,4,1,2,3,1,7,5,1,1,5,6,7,4,3,4,4,1
620,3,6,1,2,3,6,6,6,5,3,2,2,3,5,2,3,2,1
621,5,4,4,6,3,3,2,3,3,2,5,3,5,3,3,4,5,4
622,4,5,2,4,4,3,6,4,2,4,4,4,5,5,5,4,4,4
623,6,7,5,2,4,2,5,3,2,4,3,2,7,5,4,6,5,5
624,5,5,3,5,2,2,5,4,4,4,4,3,5,4,2,4,6,5
625,6,3,6,4,1,4,5,2,5,4,4,3,6,2,6,6,3,3
626,2,4,5,2,4,1,7,4,5,1,2,2,2,6,6,5,4,1
627,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,4,3
628,5,4,2,5,5,1,5,2,4,1,2,2,5,2,1,1,3,5
629,4,4,2,6,3,4,4,3,2,2,3,3,4,4,3,3,4,2
630,4,4,5,4,2,4,5,1,1,7,7,1,3,5,2,1,1,1
631,3,6,6,1,2,2,4,2,3,4,3,3,6,6,6,4,3,3
632,4,2,4,2,6,5,6,6,5,2,2,2,4,3,3,2,2,2
633,4,2,5,5,2,5,4,2,5,4,3,7,6,2,6,4,1,6
634,5,2,4,2,6,6,2,1,2,3,4,3,2,3,3,3,3,3
635,4,1,1,7,7,3,3,4,2,1,2,1,3,5,3,4,4,4
636,3,7,1,4,3,3,4,2,2,6,2,4,1,6,6,4,6,5
638,2,6,3,4,3,3,5,5,2,4,1,4,5,3,2,2,2,3
639,6,4,5,3,3,5,6,4,5,4,4,6,5,5,4,3,4,3
640,1,6,1,3,4,2,7,4,4,4,3,3,6,5,6,4,4,4
641,5,4,3,4,4,4,4,4,3,4,4,2,6,4,5,4,4,4
642,5,6,7,5,6,4,4,5,6,3,4,4,7,7,7,4,5,4
643,7,5,5,7,4,5,1,4,4,1,3,4,2,5,4,4,3,3
644,4,6,1,5,3,2,3,6,5,3,5,5,4,5,5,4,5,5
645,7,7,7,4,1,7,7,6,7,7,4,2,7,6,5,7,6,6
646,3,5,4,3,5,3,6,5,5,6,6,5,6,4,3,3,3,5
647,7,7,7,7,5,3,7,1,2,7,2,2,7,5,5,4,3,4
648,6,6,7,7,6,6,3,3,4,6,5,5,5,6,7,5,5,1
649,3,3,2,4,4,1,5,5,1,1,1,1,4,5,1,4,4,1
650,4,6,4,3,5,2,4,4,4,1,4,1,6,4,5,4,4,4
651,3,4,3,2,2,3,5,4,4,4,4,3,5,5,5,4,4,4
652,4,7,7,7,5,5,7,6,2,4,4,6,7,7,7,7,6,6
653,2,3,1,4,4,4,5,4,4,3,5,5,4,5,3,4,4,4
654,6,3,3,4,2,5,4,4,4,3,3,4,5,3,4,4,4,4
655,4,7,6,6,4,5,6,7,3,6,2,2,5,6,4,6,4,4
656,6,4,5,4,3,6,4,5,4,1,4,1,6,4,5,4,4,4
657,5,5,6,2,3,1,4,3,3,3,3,3,6,6,6,4,3,3
658,1,4,5,4,2,7,2,3,6,6,6,7,5,5,7,4,6,3
659,1,5,4,4,2,6,4,2,6,4,2,5,3,6,3,2,5,3
660,5,5,2,3,3,5,6,5,2,6,2,2,2,5,5,4,2,3
661,6,5,4,7,4,4,5,3,3,5,4,2,4,4,4,4,4,3
662,6,3,1,6,5,5,6,5,5,4,1,1,5,5,6,1,4,1
663,5,3,4,7,2,4,7,6,7,7,2,4,7,5,5,6,3,7
665,6,4,1,2,3,5,7,1,3,1,5,1,2,5,1,1,4,2
666,6,4,6,4,4,2,6,5,5,4,6,3,4,4,4,7,6,7
667,5,4,2,5,2,3,5,4,4,6,5,6,4,4,4,4,4,4
668,7,2,6,6,6,1,7,7,1,4,4,1,7,5,6,7,4,1
669,4,3,2,2,2,6,7,4,2,4,3,4,3,3,3,6,5,4
670,7,1,3,4,3,3,4,3,1,7,7,4,7,1,4,4,4,4
671,5,5,4,6,3,4,7,6,6,6,3,3,6,5,6,6,5,5
672,6,4,6,1,3,1,2,4,1,4,4,4,7,3,3,4,4,3
673,7,4,2,3,2,4,3,2,3,1,1,1,6,5,5,4,2,1
674,5,4,5,2,2,2,4,2,1,1,3,1,7,7,7,4,3,2
675,5,5,6,4,3,4,5,4,5,6,6,6,6,6,6,5,5,5
676,5,2,3,4,4,1,5,4,3,5,3,2,5,1,4,4,3,4
677,5,5,2,5,5,3,5,5,3,5,6,5,6,4,5,4,4,2
678,6,6,5,3,3,2,3,4,4,2,4,4,5,5,5,3,4,4
679,6,2,1,7,1,5,7,1,3,7,1,1,7,4,1,7,1,1
680,6,3,1,4,4,4,7,5,1,7,7,3,7,7,1,3,4,4
681,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
682,3,6,6,6,5,4,2,5,4,2,4,5,6,5,5,4,4,4
683,6,3,1,7,4,7,6,4,3,4,4,4,7,2,4,5,3,2
684,5,5,6,7,3,4,7,7,7,6,6,6,7,6,6,6,6,6
685,7,5,6,6,6,6,4,4,1,6,5,6,6,7,7,5,6,5
686,4,3,4,4,4,4,7,4,4,4,4,4,6,3,3,6,3,4
687,7,4,1,7,4,2,7,6,4,1,4,1,7,5,6,4,4,1
689,5,6,7,3,2,2,4,4,1,3,4,5,2,4,2,3,3,3
690,5,4,3,2,2,4,7,6,4,7,6,4,7,6,6,7,5,5
691,3,5,4,2,2,1,6,1,3,3,2,1,3,1,2,3,1,1
692,5,2,7,5,2,2,6,7,2,4,7,6,6,6,2,2,4,3
693,3,3,1,6,4,1,4,3,4,5,3,2,5,3,5,4,4,4
694,4,5,5,4,5,5,5,5,5,4,4,5,4,3,3,2,1,2
695,6,6,6,7,2,6,7,2,7,7,5,5,7,3,6,7,7,1
696,6,7,7,5,2,1,7,6,5,6,3,7,2,3,5,4,5,6
697,6,2,7,6,5,5,6,5,3,7,3,1,3,4,5,6,7,6
698,6,2,1,3,2,1,6,2,3,6,3,3,4,2,1,5,4,2
699,5,4,3,7,2,4,3,4,3,3,4,3,6,4,5,4,4,4
700,4,4,4,2,3,3,5,4,3,6,2,3,3,2,5,2,2,3
702,2,4,2,1,3,3,1,3,1,1,3,1,5,5,4,1,3,1
703,4,1,1,7,1,4,7,3,4,3,1,4,5,2,1,4,4,1
704,1,1,2,4,4,2,2,5,2,1,3,2,3,1,4,1,1,2
705,2,4,2,6,5,5,4,5,2,6,4,4,5,5,5,4,4,2
706,7,6,7,1,3,1,7,6,7,1,1,1,7,4,4,5,5,3
707,5,2,3,2,5,2,3,3,5,4,2,2,6,2,2,6,4,5
708,3,3,5,7,2,2,6,6,1,5,2,1,7,3,2,4,4,1
709,4,2,1,1,2,1,6,2,5,3,3,1,6,7,7,4,4,4
710,7,5,3,7,4,5,6,4,5,1,4,4,3,4,5,4,4,4
711,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
713,4,4,1,5,5,5,2,3,1,2,2,1,3,3,3,3,6,5
714,6,6,6,5,5,6,7,5,6,6,5,6,5,6,5,4,4,4
716,6,2,6,6,5,5,2,2,4,2,6,2,6,6,6,5,4,5
717,7,4,5,5,3,4,5,3,4,4,4,3,5,5,5,4,4,4
718,3,3,2,5,2,2,6,3,1,6,2,3,2,5,4,6,4,3
720,6,4,1,1,4,4,7,1,1,1,4,4,7,1,1,7,7,7
721,7,7,7,7,5,7,5,5,2,1,2,2,7,6,7,6,4,6
722,6,3,3,7,6,5,7,6,6,2,6,1,7,6,6,4,4,1
723,3,5,5,4,3,5,5,4,4,4,4,3,5,5,5,4,4,4
724,5,4,4,4,4,4,5,4,4,4,4,3,5,5,5,4,4,4
725,5,3,4,4,4,4,5,4,4,4,4,3,5,2,5,4,4,4
727,5,2,2,4,4,4,4,3,3,4,3,5,3,3,3,5,4,2
728,4,3,5,4,4,1,1,1,1,1,1,1,1,5,1,1,4,4
729,6,4,2,3,3,2,5,5,2,4,4,4,3,6,6,3,2,2
730,7,5,6,4,4,5,6,5,6,6,6,6,6,6,6,5,4,6
731,4,3,2,4,1,4,4,5,1,4,4,4,5,7,5,5,4,5
732,5,3,7,1,6,3,7,6,7,7,7,7,7,6,7,7,4,7
733,3,2,5,1,4,4,5,2,5,2,4,3,6,3,2,3,6,3
735,7,5,6,7,7,5,7,5,5,5,5,6,7,5,6,4,4,5
736,6,1,2,4,4,1,4,4,3,2,2,1,6,4,2,4,1,1
737,6,2,5,7,5,5,7,2,4,5,2,3,7,2,6,6,5,2
738,3,4,2,1,1,3,2,2,3,5,4,5,6,5,5,3,3,2
739,3,4,2,2,1,2,2,1,1,4,3,1,3,3,1,3,3,1
740,7,7,7,1,3,7,5,4,4,7,7,7,7,7,7,7,7,7
741,6,6,5,1,7,1,6,2,3,1,1,1,7,7,5,4,4,4
742,4,4,5,6,5,1,5,5,2,7,5,5,6,7,6,5,6,3
743,5,4,4,6,4,5,3,3,2,6,4,3,2,6,6,2,5,4
744,2,4,2,4,2,1,5,4,1,1,3,2,4,4,4,4,4,1
745,1,4,1,6,4,3,7,1,1,1,4,1,4,4,4,1,4,1
746,7,5,7,3,3,4,2,6,1,6,5,4,7,7,6,4,4,5
747,3,7,1,4,7,4,7,1,3,6,2,2,7,3,3,4,4,4
748,2,4,5,5,5,3,7,6,4,5,5,5,7,6,5,1,2,3
749,7,7,1,2,2,1,7,6,3,7,7,7,1,6,7,1,1,2
750,6,6,3,1,4,2,6,7,2,4,4,3,7,1,1,4,3,2
751,2,4,4,7,4,6,1,4,7,4,4,6,7,4,7,4,4,4
752,7,5,4,5,2,4,3,4,5,6,4,4,7,6,5,4,4,4
753,2,2,1,7,3,5,4,4,4,1,4,3,4,6,6,4,5,2
754,1,4,2,1,3,4,2,2,1,1,3,2,6,4,2,4,4,2
755,6,4,6,7,2,5,4,2,4,5,5,1,5,5,5,6,6,6
756,4,5,4,4,3,4,6,6,5,6,7,5,4,5,3,5,5,5
757,4,5,2,4,4,4,1,1,1,4,4,4,1,1,1,2,2,2
